id;categoria;produto;custo_brl;venda_brl;aliexpress;loja
tech-014;Tech;Suporte Mesa Articulado;17,61;35,22;https://pt.aliexpress.com/w/wholesale-desktop+phone+stand+adjustable.html;https://alvaloja.store/produto.html?id=tech-014
tech-015;Tech;Mini Projetor Portátil;145,04;290,08;https://pt.aliexpress.com/w/wholesale-mini+portable+projector.html;https://alvaloja.store/produto.html?id=tech-015
tech-016;Tech;Teclado Bluetooth Slim;54,39;108,78;https://pt.aliexpress.com/w/wholesale-slim+bluetooth+keyboard.html;https://alvaloja.store/produto.html?id=tech-016
tech-017;Tech;Mouse Silencioso;26,42;52,84;https://pt.aliexpress.com/w/wholesale-silent+wireless+mouse.html;https://alvaloja.store/produto.html?id=tech-017
tech-018;Tech;Webcam Full HD;68,38;136,76;https://pt.aliexpress.com/w/wholesale-webcam+1080p+autofocus.html;https://alvaloja.store/produto.html?id=tech-018
tech-019;Tech;Luminária Anel LED;45,07;90,14;https://pt.aliexpress.com/w/wholesale-ring+light+10+inch.html;https://alvaloja.store/produto.html?id=tech-019
tech-020;Tech;Adaptador HDMI 4K;22,27;44,54;https://pt.aliexpress.com/w/wholesale-hdmi+adapter+4k+usb+c.html;https://alvaloja.store/produto.html?id=tech-020
casa-021;Casa;Capa de Sofá 2 Lugares;38,23;76,46;https://pt.aliexpress.com/w/wholesale-sofa+cover+2+seater+stretch.html;https://alvaloja.store/produto.html?id=casa-021
casa-022;Casa;Capa de Sofá 3 Lugares;46,1;92,2;https://pt.aliexpress.com/w/wholesale-sofa+cover+3+seater+stretch.html;https://alvaloja.store/produto.html?id=casa-022
casa-023;Casa;Organizador de Joias;44,96;89,92;https://pt.aliexpress.com/w/wholesale-jewelry+organizer+box.html;https://alvaloja.store/produto.html?id=casa-023
casa-024;Casa;Almofada Lombar;65,99;131,98;https://pt.aliexpress.com/w/wholesale-lumbar+support+pillow.html;https://alvaloja.store/produto.html?id=casa-024
casa-025;Casa;Travesseiro Cervical;58,02;116,04;https://pt.aliexpress.com/w/wholesale-cervical+memory+foam+pillow.html;https://alvaloja.store/produto.html?id=casa-025
casa-026;Casa;Suporte Vassoura Parede;26,78;53,56;https://pt.aliexpress.com/w/wholesale-broom+holder+wall+mount.html;https://alvaloja.store/produto.html?id=casa-026
casa-027;Casa;Capa de Fogão;16,42;32,84;https://pt.aliexpress.com/w/wholesale-stove+burner+covers.html;https://alvaloja.store/produto.html?id=casa-027
casa-028;Casa;Cortina Blackout;75,11;150,22;https://pt.aliexpress.com/w/wholesale-blackout+curtains+living+room.html;https://alvaloja.store/produto.html?id=casa-028
casa-029;Casa;Tapete Passadeira;50,76;101,52;https://pt.aliexpress.com/w/wholesale-hallway+runner+rug.html;https://alvaloja.store/produto.html?id=casa-029
casa-030;Casa;Luminária de Mesa;52,84;105,68;https://pt.aliexpress.com/w/wholesale-desk+lamp+led+dimmable.html;https://alvaloja.store/produto.html?id=casa-030
casa-031;Casa;Fita LED 5m RGB;33,15;66,3;https://pt.aliexpress.com/w/wholesale-led+strip+lights+5m+rgb.html;https://alvaloja.store/produto.html?id=casa-031
casa-032;Casa;Umidificador 300ml;41,96;83,92;https://pt.aliexpress.com/w/wholesale-humidifier+300ml+usb.html;https://alvaloja.store/produto.html?id=casa-032
casa-033;Casa;Relógio de Parede;39,37;78,74;https://pt.aliexpress.com/w/wholesale-modern+wall+clock+silent.html;https://alvaloja.store/produto.html?id=casa-033
casa-034;Casa;Cabideiro de Porta;21,76;43,52;https://pt.aliexpress.com/w/wholesale-over+door+hook+hanger.html;https://alvaloja.store/produto.html?id=casa-034
casa-035;Casa;Caixa Organizadora;30,56;61,12;https://pt.aliexpress.com/w/wholesale-foldable+storage+box.html;https://alvaloja.store/produto.html?id=casa-035
casa-036;Casa;Protetor de Quina;14,5;29;https://pt.aliexpress.com/w/wholesale-corner+guards+baby+safety.html;https://alvaloja.store/produto.html?id=casa-036
casa-037;Casa;Puxador Adesivo;12,43;24,86;https://pt.aliexpress.com/w/wholesale-self+adhesive+drawer+handle.html;https://alvaloja.store/produto.html?id=casa-037
casa-038;Casa;Varal Retrátil;35,74;71,48;https://pt.aliexpress.com/w/wholesale-retractable+clothes+line.html;https://alvaloja.store/produto.html?id=casa-038
casa-039;Casa;Pano Microfibra Kit 10;18,13;36,26;https://pt.aliexpress.com/w/wholesale-microfiber+cleaning+cloths+10.html;https://alvaloja.store/produto.html?id=casa-039
casa-040;Casa;Lixeira com Pedal;59,05;118,1;https://pt.aliexpress.com/w/wholesale-pedal+trash+can+8l.html;https://alvaloja.store/produto.html?id=casa-040
pet-041;Pet;Cama Caverna Gato;59,88;119,76;https://pt.aliexpress.com/w/wholesale-cat+cave+bed+felt.html;https://alvaloja.store/produto.html?id=pet-041
pet-042;Pet;Cama Ortopédica Cão;95,31;190,62;https://pt.aliexpress.com/w/wholesale-orthopedic+dog+bed.html;https://alvaloja.store/produto.html?id=pet-042
pet-043;Pet;Coleira LED Recarregável;19,53;39,06;https://pt.aliexpress.com/w/wholesale-rechargeable+led+dog+collar.html;https://alvaloja.store/produto.html?id=pet-043
pet-044;Pet;Guia Retrátil 5m;32,12;64,24;https://pt.aliexpress.com/w/wholesale-retractable+dog+leash+5m.html;https://alvaloja.store/produto.html?id=pet-044
pet-045;Pet;Comedouro Lento;36,57;73,14;https://pt.aliexpress.com/w/wholesale-slow+feeder+dog+bowl.html;https://alvaloja.store/produto.html?id=pet-045
pet-046;Pet;Fonte Água Gato;76,66;153,32;https://pt.aliexpress.com/w/wholesale-cat+water+fountain.html;https://alvaloja.store/produto.html?id=pet-046
pet-047;Pet;Arranhador Torre;113,96;227,92;https://pt.aliexpress.com/w/wholesale-cat+scratching+tower.html;https://alvaloja.store/produto.html?id=pet-047
pet-048;Pet;Brinquedo Laser;27,97;55,94;https://pt.aliexpress.com/w/wholesale-cat+laser+toy+automatic.html;https://alvaloja.store/produto.html?id=pet-048
pet-049;Pet;Dispenser Cata-Caca;10,88;21,76;https://pt.aliexpress.com/w/wholesale-dog+poop+bag+dispenser.html;https://alvaloja.store/produto.html?id=pet-049
pet-050;Pet;Roupa Cão Inverno;42,99;85,98;https://pt.aliexpress.com/w/wholesale-dog+winter+coat.html;https://alvaloja.store/produto.html?id=pet-050
pet-051;Pet;Peitoral Antipuxão;40,92;81,84;https://pt.aliexpress.com/w/wholesale-no+pull+dog+harness.html;https://alvaloja.store/produto.html?id=pet-051
pet-052;Pet;Escova Tira-Pelos;23,83;47,66;https://pt.aliexpress.com/w/wholesale-pet+hair+remover+brush.html;https://alvaloja.store/produto.html?id=pet-052
pet-053;Pet;Tapete Higiênico Lavável;47,66;95,32;https://pt.aliexpress.com/w/wholesale-washable+puppy+pad.html;https://alvaloja.store/produto.html?id=pet-053
pet-054;Pet;Brinquedo Mordedor;19,68;39,36;https://pt.aliexpress.com/w/wholesale-dog+chew+toy+nylon.html;https://alvaloja.store/produto.html?id=pet-054
pet-055;Pet;Cama Janela Gato;67,86;135,72;https://pt.aliexpress.com/w/wholesale-cat+window+perch.html;https://alvaloja.store/produto.html?id=pet-055
pet-056;Pet;Comedouro Elevado;54,39;108,78;https://pt.aliexpress.com/w/wholesale-elevated+dog+bowl+stand.html;https://alvaloja.store/produto.html?id=pet-056
pet-057;Pet;GPS Pet Mini;86,51;173,02;https://pt.aliexpress.com/w/wholesale-mini+gps+pet+tracker.html;https://alvaloja.store/produto.html?id=pet-057
pet-058;Pet;Túnel para Gato;35,22;70,44;https://pt.aliexpress.com/w/wholesale-cat+tunnel+toy.html;https://alvaloja.store/produto.html?id=pet-058
pet-059;Pet;Bolsa Transporte Pet;78,74;157,48;https://pt.aliexpress.com/w/wholesale-pet+carrier+bag+airline.html;https://alvaloja.store/produto.html?id=pet-059
pet-060;Pet;Bebedouro Portátil;25,38;50,76;https://pt.aliexpress.com/w/wholesale-portable+dog+water+bottle.html;https://alvaloja.store/produto.html?id=pet-060
moda-061;Moda;Bolsa Transversal Mini;19,58;39,16;https://pt.aliexpress.com/w/wholesale-mini+crossbody+bag.html;https://alvaloja.store/produto.html?id=moda-061
moda-062;Moda;Bolsa Shopper Couro PU;48,69;97,38;https://pt.aliexpress.com/w/wholesale-pu+leather+tote+bag.html;https://alvaloja.store/produto.html?id=moda-062
moda-063;Moda;Carteira Slim RFID;20,62;41,24;https://pt.aliexpress.com/w/wholesale-rfid+slim+wallet.html;https://alvaloja.store/produto.html?id=moda-063
moda-064;Moda;Cinto Couro Fivela;29,01;58,02;https://pt.aliexpress.com/w/wholesale-leather+belt+men.html;https://alvaloja.store/produto.html?id=moda-064
moda-065;Moda;Óculos UV400;21,76;43,52;https://pt.aliexpress.com/w/wholesale-uv400+sunglasses.html;https://alvaloja.store/produto.html?id=moda-065
moda-066;Moda;Boné Aba Curva;18,13;36,26;https://pt.aliexpress.com/w/wholesale-curved+brim+cap.html;https://alvaloja.store/produto.html?id=moda-066
moda-067;Moda;Meia Invisível Kit 5;16,21;32,42;https://pt.aliexpress.com/w/wholesale-invisible+socks+5+pairs.html;https://alvaloja.store/produto.html?id=moda-067
moda-068;Moda;Lenço Seda Cetim;24,86;49,72;https://pt.aliexpress.com/w/wholesale-satin+silk+scarf.html;https://alvaloja.store/produto.html?id=moda-068
moda-069;Moda;Relógio Quartzo Pulseira;46,1;92,2;https://pt.aliexpress.com/w/wholesale-quartz+watch+leather+strap.html;https://alvaloja.store/produto.html?id=moda-069
moda-070;Moda;Brinco Argola Aço;13,99;27,98;https://pt.aliexpress.com/w/wholesale-stainless+hoop+earrings.html;https://alvaloja.store/produto.html?id=moda-070
moda-071;Moda;Colar Corrente Fina;16,06;32,12;https://pt.aliexpress.com/w/wholesale-thin+chain+necklace.html;https://alvaloja.store/produto.html?id=moda-071
moda-072;Moda;Pulseira Imã;15,02;30,04;https://pt.aliexpress.com/w/wholesale-magnetic+bracelet.html;https://alvaloja.store/produto.html?id=moda-072
moda-073;Moda;Necessaire Viagem;26,94;53,88;https://pt.aliexpress.com/w/wholesale-travel+toiletry+bag.html;https://alvaloja.store/produto.html?id=moda-073
moda-074;Moda;Cinto Faixa Vestido;17,61;35,22;https://pt.aliexpress.com/w/wholesale-women+dress+belt.html;https://alvaloja.store/produto.html?id=moda-074
moda-075;Moda;Chapéu Bucket;23,83;47,66;https://pt.aliexpress.com/w/wholesale-bucket+hat+cotton.html;https://alvaloja.store/produto.html?id=moda-075
moda-076;Moda;Mochila Notebook 15;76,66;153,32;https://pt.aliexpress.com/w/wholesale-laptop+backpack+15+inch.html;https://alvaloja.store/produto.html?id=moda-076
moda-077;Moda;Pochete Esportiva;21,24;42,48;https://pt.aliexpress.com/w/wholesale-running+belt+waist+bag.html;https://alvaloja.store/produto.html?id=moda-077
moda-078;Moda;Luva Touchscreen;25,9;51,8;https://pt.aliexpress.com/w/wholesale-touchscreen+winter+gloves.html;https://alvaloja.store/produto.html?id=moda-078
moda-079;Moda;Cachecol Tricot;32,63;65,26;https://pt.aliexpress.com/w/wholesale-knit+scarf+unisex.html;https://alvaloja.store/produto.html?id=moda-079
moda-080;Moda;Porta-Cartão Metal;18,65;37,3;https://pt.aliexpress.com/w/wholesale-metal+card+holder+rfid.html;https://alvaloja.store/produto.html?id=moda-080
carro-081;Carro;Suporte Magnético Ventosa;8,34;16,68;https://pt.aliexpress.com/w/wholesale-magnetic+car+phone+holder+suction.html;https://alvaloja.store/produto.html?id=carro-081
carro-082;Carro;Suporte Grade de Ar;12,43;24,86;https://pt.aliexpress.com/w/wholesale-air+vent+phone+holder.html;https://alvaloja.store/produto.html?id=carro-082
carro-083;Carro;Câmera Veicular Full HD;102,72;205,44;https://pt.aliexpress.com/w/wholesale-dash+cam+1080p.html;https://alvaloja.store/produto.html?id=carro-083
carro-084;Carro;Aspirador Portátil 120W;107,12;214,24;https://pt.aliexpress.com/w/wholesale-portable+car+vacuum+120w.html;https://alvaloja.store/produto.html?id=carro-084
carro-085;Carro;Organizador Banco Traseiro;33,67;67,34;https://pt.aliexpress.com/w/wholesale-car+backseat+organizer.html;https://alvaloja.store/produto.html?id=carro-085
carro-086;Carro;Carregador Veicular 45W;30,04;60,08;https://pt.aliexpress.com/w/wholesale-car+charger+45w+usb+c.html;https://alvaloja.store/produto.html?id=carro-086
carro-087;Carro;Câmera de Ré;58,02;116,04;https://pt.aliexpress.com/w/wholesale-car+rear+view+camera.html;https://alvaloja.store/produto.html?id=carro-087
carro-088;Carro;Tapete Borracha Universal;69,41;138,82;https://pt.aliexpress.com/w/wholesale-universal+car+floor+mat.html;https://alvaloja.store/produto.html?id=carro-088
carro-089;Carro;Protetor Sol Para-brisa;24,35;48,7;https://pt.aliexpress.com/w/wholesale-windshield+sun+shade.html;https://alvaloja.store/produto.html?id=carro-089
carro-090;Carro;Aromatizador Clip;9,84;19,68;https://pt.aliexpress.com/w/wholesale-car+air+freshener+clip.html;https://alvaloja.store/produto.html?id=carro-090
carro-091;Carro;Kit Emergência;65,27;130,54;https://pt.aliexpress.com/w/wholesale-car+emergency+kit.html;https://alvaloja.store/produto.html?id=carro-091
carro-092;Carro;Suporte Tablet Encosto;37,3;74,6;https://pt.aliexpress.com/w/wholesale-car+headrest+tablet+holder.html;https://alvaloja.store/produto.html?id=carro-092
carro-093;Carro;Capa Volante;22,79;45,58;https://pt.aliexpress.com/w/wholesale-steering+wheel+cover.html;https://alvaloja.store/produto.html?id=carro-093
carro-094;Carro;Luz Interna LED;17,09;34,18;https://pt.aliexpress.com/w/wholesale-car+interior+led+light.html;https://alvaloja.store/produto.html?id=carro-094
carro-095;Carro;Compressor Mini 12V;87,02;174,04;https://pt.aliexpress.com/w/wholesale-12v+portable+air+compressor.html;https://alvaloja.store/produto.html?id=carro-095
carro-096;Carro;Inversor 150W;73,04;146,08;https://pt.aliexpress.com/w/wholesale-car+power+inverter+150w.html;https://alvaloja.store/produto.html?id=carro-096
carro-097;Carro;Película Antiembaçante;19,68;39,36;https://pt.aliexpress.com/w/wholesale-anti+fog+car+film.html;https://alvaloja.store/produto.html?id=carro-097
carro-098;Carro;Gancho Encosto Kit 4;13,47;26,94;https://pt.aliexpress.com/w/wholesale-car+headrest+hooks+4pcs.html;https://alvaloja.store/produto.html?id=carro-098
carro-099;Carro;Lixeira Carro Couro;28,49;56,98;https://pt.aliexpress.com/w/wholesale-car+trash+bin+leather.html;https://alvaloja.store/produto.html?id=carro-099
carro-100;Carro;Câmera DVR Dual;142,45;284,9;https://pt.aliexpress.com/w/wholesale-dual+dash+cam+front+rear.html;https://alvaloja.store/produto.html?id=carro-100
beleza-101;Beleza;Massageador de Pescoço;15,95;31,9;https://pt.aliexpress.com/w/wholesale-electric+neck+massager.html;https://alvaloja.store/produto.html?id=beleza-101
beleza-102;Beleza;Massageador Facial LED;48,69;97,38;https://pt.aliexpress.com/w/wholesale-led+facial+massager.html;https://alvaloja.store/produto.html?id=beleza-102
beleza-103;Beleza;Escova Alisadora;66,3;132,6;https://pt.aliexpress.com/w/wholesale-hair+straightener+brush.html;https://alvaloja.store/produto.html?id=beleza-103
beleza-104;Beleza;Secador Compacto;60,09;120,18;https://pt.aliexpress.com/w/wholesale-travel+hair+dryer.html;https://alvaloja.store/produto.html?id=beleza-104
beleza-105;Beleza;Espelho LED Maquiagem;52,84;105,68;https://pt.aliexpress.com/w/wholesale-led+makeup+mirror.html;https://alvaloja.store/produto.html?id=beleza-105
beleza-106;Beleza;Depilador Elétrico;72;144;https://pt.aliexpress.com/w/wholesale-electric+epilator+women.html;https://alvaloja.store/produto.html?id=beleza-106
beleza-107;Beleza;Kit Skincare Rolo;23,31;46,62;https://pt.aliexpress.com/w/wholesale-jade+roller+gua+sha+set.html;https://alvaloja.store/produto.html?id=beleza-107
beleza-108;Beleza;Aparador Pelos Nariz;26,94;53,88;https://pt.aliexpress.com/w/wholesale-nose+hair+trimmer.html;https://alvaloja.store/produto.html?id=beleza-108
beleza-109;Beleza;Escova Facial Sônica;40,4;80,8;https://pt.aliexpress.com/w/wholesale-sonic+facial+cleansing+brush.html;https://alvaloja.store/produto.html?id=beleza-109
beleza-110;Beleza;Modelador Cachos;74,59;149,18;https://pt.aliexpress.com/w/wholesale-hair+curler+automatic.html;https://alvaloja.store/produto.html?id=beleza-110
beleza-111;Beleza;Removedor Cravos;44,55;89,1;https://pt.aliexpress.com/w/wholesale-blackhead+vacuum+remover.html;https://alvaloja.store/produto.html?id=beleza-111
beleza-112;Beleza;Lixa Pé Elétrica;47,14;94,28;https://pt.aliexpress.com/w/wholesale-electric+foot+file.html;https://alvaloja.store/produto.html?id=beleza-112
beleza-113;Beleza;Kit Manicure 18pç;32,63;65,26;https://pt.aliexpress.com/w/wholesale-manicure+set+18+pcs.html;https://alvaloja.store/produto.html?id=beleza-113
beleza-114;Beleza;Chapinha Mini;36,78;73,56;https://pt.aliexpress.com/w/wholesale-mini+hair+straightener.html;https://alvaloja.store/produto.html?id=beleza-114
beleza-115;Beleza;Faixa Skincare;11,4;22,8;https://pt.aliexpress.com/w/wholesale-skincare+headband.html;https://alvaloja.store/produto.html?id=beleza-115
beleza-116;Beleza;Organizadora Maquiagem;50,25;100,5;https://pt.aliexpress.com/w/wholesale-makeup+organizer+acrylic.html;https://alvaloja.store/produto.html?id=beleza-116
beleza-117;Beleza;Pinça LED Sobrancelha;17,61;35,22;https://pt.aliexpress.com/w/wholesale-led+eyebrow+tweezers.html;https://alvaloja.store/produto.html?id=beleza-117
beleza-118;Beleza;Spray Nano Facial;35,22;70,44;https://pt.aliexpress.com/w/wholesale-nano+facial+mister.html;https://alvaloja.store/produto.html?id=beleza-118
beleza-119;Beleza;Massageador Couro Cabeludo;20,2;40,4;https://pt.aliexpress.com/w/wholesale-scalp+massager+shampoo.html;https://alvaloja.store/produto.html?id=beleza-119
beleza-120;Beleza;Kit Barba Homem;78,74;157,48;https://pt.aliexpress.com/w/wholesale-men+beard+kit+trimmer.html;https://alvaloja.store/produto.html?id=beleza-120
esporte-121;Esporte;Tapete Yoga 6mm;81,64;163,28;https://pt.aliexpress.com/w/wholesale-yoga+mat+6mm+non+slip.html;https://alvaloja.store/produto.html?id=esporte-121
esporte-122;Esporte;Tapete Yoga Extra Grosso;94,28;188,56;https://pt.aliexpress.com/w/wholesale-thick+yoga+mat+10mm.html;https://alvaloja.store/produto.html?id=esporte-122
esporte-123;Esporte;Meias Compressão 20-30;16,21;32,42;https://pt.aliexpress.com/w/wholesale-compression+socks+20-30+mmhg.html;https://alvaloja.store/produto.html?id=esporte-123
esporte-124;Esporte;Corda Crossfit;24,86;49,72;https://pt.aliexpress.com/w/wholesale-jump+rope+weighted.html;https://alvaloja.store/produto.html?id=esporte-124
esporte-125;Esporte;Elástico Kit 5;35,74;71,48;https://pt.aliexpress.com/w/wholesale-resistance+bands+set+5.html;https://alvaloja.store/produto.html?id=esporte-125
esporte-126;Esporte;Rolo Liberação Miofascial;43,51;87,02;https://pt.aliexpress.com/w/wholesale-foam+roller+massage.html;https://alvaloja.store/produto.html?id=esporte-126
esporte-127;Esporte;Garrafa 1L Esportiva;29,01;58,02;https://pt.aliexpress.com/w/wholesale-sports+water+bottle+1l.html;https://alvaloja.store/produto.html?id=esporte-127
esporte-128;Esporte;Luvas Academia;21,76;43,52;https://pt.aliexpress.com/w/wholesale-gym+workout+gloves.html;https://alvaloja.store/produto.html?id=esporte-128
esporte-129;Esporte;Caneleira 2kg Par;49,21;98,42;https://pt.aliexpress.com/w/wholesale-ankle+weights+2kg+pair.html;https://alvaloja.store/produto.html?id=esporte-129
esporte-130;Esporte;Bola Pilates 65cm;39,89;79,78;https://pt.aliexpress.com/w/wholesale-pilates+ball+65cm.html;https://alvaloja.store/produto.html?id=esporte-130
esporte-131;Esporte;Mini Bike Pedal;116,03;232,06;https://pt.aliexpress.com/w/wholesale-under+desk+mini+bike.html;https://alvaloja.store/produto.html?id=esporte-131
esporte-132;Esporte;Suporte Celular Bike;18,65;37,3;https://pt.aliexpress.com/w/wholesale-bike+phone+mount.html;https://alvaloja.store/produto.html?id=esporte-132
esporte-133;Esporte;Farol Bike USB;31,6;63,2;https://pt.aliexpress.com/w/wholesale-usb+bike+light+set.html;https://alvaloja.store/produto.html?id=esporte-133
esporte-134;Esporte;Joelheira Compressão;27,97;55,94;https://pt.aliexpress.com/w/wholesale-knee+compression+sleeve.html;https://alvaloja.store/produto.html?id=esporte-134
esporte-135;Esporte;Faixa Headband Suor;14,5;29;https://pt.aliexpress.com/w/wholesale-sweat+headband+sport.html;https://alvaloja.store/produto.html?id=esporte-135
esporte-136;Esporte;Cinto Hidratação;42,48;84,96;https://pt.aliexpress.com/w/wholesale-running+hydration+belt.html;https://alvaloja.store/produto.html?id=esporte-136
esporte-137;Esporte;Contador Passos Clip;16,06;32,12;https://pt.aliexpress.com/w/wholesale-clip+pedometer.html;https://alvaloja.store/produto.html?id=esporte-137
esporte-138;Esporte;Toalha Esportiva;20,2;40,4;https://pt.aliexpress.com/w/wholesale-microfiber+sport+towel.html;https://alvaloja.store/produto.html?id=esporte-138
esporte-139;Esporte;Halteres Ajustáveis Par;150,22;300,44;https://pt.aliexpress.com/w/wholesale-adjustable+dumbbells+pair.html;https://alvaloja.store/produto.html?id=esporte-139
esporte-140;Esporte;Barra Porta Exercício;85,47;170,94;https://pt.aliexpress.com/w/wholesale-doorway+pull+up+bar.html;https://alvaloja.store/produto.html?id=esporte-140
bebe-141;Bebê;Aquecedor de Mamadeira;56,25;112,5;https://pt.aliexpress.com/w/wholesale-baby+bottle+warmer+portable.html;https://alvaloja.store/produto.html?id=bebe-141
bebe-142;Bebê;Almofada Amamentação;36,57;73,14;https://pt.aliexpress.com/w/wholesale-nursing+pillow.html;https://alvaloja.store/produto.html?id=bebe-142
bebe-143;Bebê;Babador Silicone Kit 3;27,97;55,94;https://pt.aliexpress.com/w/wholesale-silicone+baby+bibs+3.html;https://alvaloja.store/produto.html?id=bebe-143
bebe-144;Bebê;Mordedor Gelado;16,58;33,16;https://pt.aliexpress.com/w/wholesale-teething+toy+freezer.html;https://alvaloja.store/produto.html?id=bebe-144
bebe-145;Bebê;Monitor Bebê Câmera;128,46;256,92;https://pt.aliexpress.com/w/wholesale-baby+monitor+camera+wifi.html;https://alvaloja.store/produto.html?id=bebe-145
bebe-146;Bebê;Protetor Tomada Kit 20;18,65;37,3;https://pt.aliexpress.com/w/wholesale-outlet+covers+baby+proof+20.html;https://alvaloja.store/produto.html?id=bebe-146
bebe-147;Bebê;Trava Gaveta Kit 10;21,24;42,48;https://pt.aliexpress.com/w/wholesale-baby+drawer+locks+10.html;https://alvaloja.store/produto.html?id=bebe-147
bebe-148;Bebê;Cadeira Alimentação Portátil;97,9;195,8;https://pt.aliexpress.com/w/wholesale-portable+baby+high+chair.html;https://alvaloja.store/produto.html?id=bebe-148
bebe-149;Bebê;Mosquiteiro Carrinho;24,86;49,72;https://pt.aliexpress.com/w/wholesale-stroller+mosquito+net.html;https://alvaloja.store/produto.html?id=bebe-149
bebe-150;Bebê;Organizador Carrinho;38,85;77,7;https://pt.aliexpress.com/w/wholesale-stroller+organizer+bag.html;https://alvaloja.store/produto.html?id=bebe-150
bebe-151;Bebê;Termômetro Banho;30,56;61,12;https://pt.aliexpress.com/w/wholesale-baby+bath+thermometer.html;https://alvaloja.store/produto.html?id=bebe-151
bebe-152;Bebê;Cortador Unha Bebê;42,48;84,96;https://pt.aliexpress.com/w/wholesale-baby+nail+trimmer+electric.html;https://alvaloja.store/produto.html?id=bebe-152
bebe-153;Bebê;Bolsa Maternidade 3pç;84,95;169,9;https://pt.aliexpress.com/w/wholesale-diaper+bag+set+3pcs.html;https://alvaloja.store/produto.html?id=bebe-153
bebe-154;Bebê;Protetor Sol Carrinho;32,63;65,26;https://pt.aliexpress.com/w/wholesale-stroller+sun+shade.html;https://alvaloja.store/produto.html?id=bebe-154
bebe-155;Bebê;Chocalho Sensorial;19,17;38,34;https://pt.aliexpress.com/w/wholesale-baby+sensory+rattle.html;https://alvaloja.store/produto.html?id=bebe-155
bebe-156;Bebê;Tapete Atividades;99,46;198,92;https://pt.aliexpress.com/w/wholesale-baby+play+mat+foam.html;https://alvaloja.store/produto.html?id=bebe-156
bebe-157;Bebê;Redutor Sanitário;35,22;70,44;https://pt.aliexpress.com/w/wholesale-potty+training+seat.html;https://alvaloja.store/produto.html?id=bebe-157
bebe-158;Bebê;Escova Cabelo Bebê;17,61;35,22;https://pt.aliexpress.com/w/wholesale-baby+hair+brush+set.html;https://alvaloja.store/produto.html?id=bebe-158
bebe-159;Bebê;Porta-Chupeta Clip;13,47;26,94;https://pt.aliexpress.com/w/wholesale-pacifier+clip+holder.html;https://alvaloja.store/produto.html?id=bebe-159
bebe-160;Bebê;Umidificador Quarto Bebê;69,93;139,86;https://pt.aliexpress.com/w/wholesale-baby+room+humidifier.html;https://alvaloja.store/produto.html?id=bebe-160
escritorio-161;Escritório;Suporte Notebook Alumínio;61,12;122,24;https://pt.aliexpress.com/w/wholesale-aluminum+laptop+stand.html;https://alvaloja.store/produto.html?id=escritorio-161
escritorio-162;Escritório;Apoio Punho Teclado;23,83;47,66;https://pt.aliexpress.com/w/wholesale-keyboard+wrist+rest.html;https://alvaloja.store/produto.html?id=escritorio-162
escritorio-163;Escritório;Mouse Pad Grande;30,56;61,12;https://pt.aliexpress.com/w/wholesale-extended+gaming+mouse+pad.html;https://alvaloja.store/produto.html?id=escritorio-163
